STT,nameProject_VNI,nameProject_ENG,difficulty_level,codeSememter,major,specialization,university,note
144,Xây dựng ứng dụng quản lý đề cương môn học,,2,232,,,UIT,
145,Xây dựng ứng dụng hỗ trợ xây dựng nhóm học tập,,2,232,,,UIT,
146,Xây dựng ứng dụng chia sẻ kinh nghiệm học tập,,2,232,,,UIT,
147,Xây dựng ứng dụng gia sư trong sinh viên,,2,232,,,UIT,
148,Xây dựng game tương tác giáo dục cho mẹ và bé,,2,232,,,UIT,
149,Xây dựng game giúp tăng cường kết nối Cả nhà cùng vui,,2,232,,,UIT,
150,Xây dựng ứng dụng quản lý tổ chức các hoạt động sinh viên,,2,232,,,UIT,
151,Phát triển ứng dụng tư vấn sức khỏe,,2,232,,,UIT,
152,Phát triển ứng dụng luyện TOEIC,,2,232,,,UIT,
153,Phát triển ứng dụng giải trí học tiếng Anh,,2,232,,,UIT,
154,Xây dựng ứng dụng luyện nói tiếng Anh cộng đồng,,2,232,,,UIT,
155,Phát triển website mạng xã hội tích hợp HLS,,2,232,,,UIT,
156,Xây dựng website cho hotel/resort,,2,232,,,UIT,
157,Xây dựng ứng dụng di động kinh doanh đồ nội thất,,2,232,,,UIT,
158,Xây dựng hệ thống quản lý sự kiện và bán vé,,2,232,,,UIT,
159,Phát triển hệ thống mua sắm trực tuyến,,2,232,,,UIT,
160,Xây dựng website bán giày tích hợp chatbot,,2,232,,,UIT,
161,Xây dựng website và app mobile TMĐT tích hợp hệ thống khuyến nghị,,2,232,,,UIT,
162,Phát triển website đọc truyện tranh,,2,232,,,UIT,
163,Xây dựng website bán đồ công nghệ,,2,232,,,UIT,
164,Phát triển ứng dụng nghe nhạc và chia sẻ bài hát với Flutter,,2,232,,,UIT,
165,Phát triển ứng dụng hỗ trợ học tiếng Anh tăng thích nghi và tương tác (mobile),,2,232,,,UIT,
166,Tìm hiểu về Entity Component System của Unity và làm sản phẩm demo,,2,232,,,UIT,
167,Sử dụng AI để khôi phục tạo hình ảnh có độ phân giải cao,,2,232,,,UIT,
168,"Tìm hiểu Reactjs và xây dựng website quản lý đăng ký môn học và học phí
",,2,232,,,UIT,
169,Ứng dụng chatbot vào ứng dụng thương mại điện tử,,2,232,,,UIT,
170,Ứng dụng mạng xã hội chia sẻ video ngắn,,2,232,,,UIT,
171,Xây dựng website đặt lịch khám bệnh online,,2,232,,,UIT,
172,"Tìm hiểu MAUI , Blazor để xây dựng ứng dụng web, di động forum ẩn danh chỉ sinh viên UIT có thể đăng bài, bình luận, ...",,2,232,,,UIT,
173,Website hỗ trợ học và ghi nhớ tiếng anh theo phương pháp FibonacciEnglish,,2,232,,,UIT,
174,"Tìm hiều về E-Learning và xây dựng web app học, chia sẻ kiến thức lập trình",,2,232,,,UIT,
175,Nghiên cứu các phương pháp phân loại ảnh và xây dựng ứng dụng phân loại các bệnh trên lá cây trồng,,2,232,,,UIT,
176,Nghiên cứu các phương pháp phân loại ảnh xây dựng ứng dụng phân loại các loài sâu hại trên cây trồng,,2,232,,,UIT,
177,Nghiên cứu các phương pháp nhận dạng cử chỉ tay (Hand Gesture Recognition) và xây dựng ứng dụng,,2,232,,,UIT,
178,Nghiên cứu phương pháp nhận dạng cảm xúc khuôn mặt và xây dựng chức năng tương ứng cho ứng dụng Smart Classroom Monitoring,,2,232,,,UIT,
179,Nghiên cứu các phương pháp nhận biết ảnh giả mạo và xây dựng ứng dụng,,2,232,,,UIT,
180,Nghiên cứu các phương pháp nhận biết video giả mạo và xây dựng ứng dụng,,2,232,,,UIT,
181,Nghiên cứu các phương pháp phát hiện các vùng giả mạo bằng deepfake trong ảnh và xây dựng ứng dụng,,2,232,,,UIT,
182,Xây dựng mội trường giao thông giả lập lũ lụt chụp từ Drone và ứng dụng phát hiện phương tiện giao thông trong điều kiện này,,2,232,,,UIT,
183,Xây dựng mội trường giao thông giả lập mưa chụp từ Drone và ứng dụng phát hiện phương tiện giao thông trong điều kiện này,,2,232,,,UIT,
184,Xây dựng mội trường giao thông giả lập ban đêm chụp từ Drone và ứng dụng phát hiện phương tiện giao thông trong điều kiện này,,2,232,,,UIT,
185,"Nghiên cứu các phương pháp chuẩn đoán ảnh y khoa trên đa nền tảng (X-ray, MRI, CT, ultrasound) và xây dựng ứng dụng",,2,232,,,UIT,
186,"Nghiên cứu các phương pháp ""Explainable Object Recognition"" trên ảnh y khoa và xây dựng ứng dụng hỗ trợ ra quyết định cho bác sĩ",,2,232,,,UIT,
187,Nghiên cứu các phương pháp học tăng cường (incremental learning) và xây dựng ứng dụng giám sát giao thông tự động,,2,232,,,UIT,
188,Phát triển hệ thống hỗ trợ quản lý tài chính cho giải pháp vay ngang hàng tích hợp với học máy,,2,232,,,UIT,
189,Phát triển hệ thống hỗ trợ tự động hóa quy trình hoạt động doanh nghiệp dựa trên RPA (Robot Process Automation),,2,232,,,UIT,
190,"Phát triển hệ thống hỗ trợ quản trị doanh nghiệp dựa trên Odoo: Áp dụng cho phân hệ quản lý phương tiện, logistics và kho hàng",,2,232,,,UIT,
191,"Tìm hiểu hệ thống khuyến nghị, cơ sở dữ liệu đồ thị và xây dựng ứng dụng minh hoạ",,2,232,,,UIT,
192,Xây dựng website gọi điện và nhắn tin CrossCalling,,2,232,,,UIT,
193,Xây dựng trang web quản lý kinh doanh cho tiệm tạp hóa nhỏ,,,,,,DUT,
194,Xây dựng website đặt phòng khách sạn,,,,,,DUT,
195,Hệ thống quản lý rác tái chế ở hộ gia đình,,,,,,DUT,
196,"Xây dựng ứng dụng hẹn hò, kết bạn và website quản trị",,,,,,DUT,
197,Nền tảng trao đổi các sản phẩm kĩ thuật số sử dụng công nghệ blockchain,,,,,,DUT,
198,Hệ thống quản lý lao động,,,,,,DUT,
199,Mô phỏng địa điểm bằng kỹ thuật Image Stitching,,,,,,DUT,
200,Xây dựng hệ thống hỗ trợ quản lý Đoàn thanh niên trường Đại học Bách Khoa,,,,,,DUT,
201,Xây dựng hệ thống đặt bàn nhà hàng online,,,,,,DUT,
202,Xây dựng ứng dụng hỗ trợ học tiếng anh trên hệ điều hành Android,,,,,,DUT,
203,Xây dựng website chia sẻ hành trình du lịch,,,,,,DUT,
204,Xây dựng App Mobile giới thiệu các bộ phim,,,,,,DUT,
205,Xây dựng website kết nối tình nguyện Việt Nam,,,,,,DUT,
206,Xây dựng trang web trò chuyện trực tuyến,,,,,,DUT,
207,Builing a livechat module for e-commerce website using chatbot technology,,,,,,DUT,
208,Tour Reservation and Booking System,,,,,,DUT,
209,Building a service-oriented Website application to manage and analyze near-infrared spectral data of food,,,,,,DUT,
210,Xây dựng ứng dụng theo dõi thời gian và quản lý công việc của các dự án,,,,,,DUT,
211,Building a website to recommend products for users of the mobile store,,,,,,DUT,
212,Cửa hàng bán sách trực tuyến tích hợp hệ thống gợi ý,,,,,,DUT,
213,Xây dựng hệ thống đánh giá địa điểm du lịch tích hợp chatbot AI,,,,,,DUT,
214,Xây dựng ứng dụng lưu trữ vị trí điểm đến dựa vào tọa độ địa lý,,,,,,DUT,
215,Bảo mật cơ sở hạ tầng mạng với ASA,,,,,,DUT,
216,Xây dựng ứng dụng quản lý tài chính cá nhân,,,,,,DUT,
217,Hệ thống quản lí nhân viên bán thời gian,,,,,,DUT,
218,Ứng dụng từ điển hình vẽ cho trẻ em DoodleDict,,,,,,DUT,
219,Xây dựng website review sách kết hợp hệ thống gợi ý,,,,,,DUT,
220,Website môi giới tuyển dụng ngành Công nghệ thông tin,,,,,,DUT,
221,Xây dựng giải pháp nhà thông minh,,,,,,DUT,
222,Website quản lí cửa hàng thức ăn,,,,,,DUT,
223,Hệ thống đặt vé máy bay trực tuyến và hệ thống quản lý hàng không,,,,,,DUT,
224,Xây dựng website hướng dẫn nấu ăn (tích hợp gợi ý món ăn).,,,,,,DUT,
225,Xây dựng website quản lý bán mỹ phẩm,,,,,,DUT,
226,Xây dựng website dạy học tiếng anh online,,,,,,DUT,
227,Xây dựng website thương mại điện tử,,,,,,DUT,
228,Xây dựng website/ứng dụng hỗ trợ hoạt động đoàn thanh niên tại trường đại học,,,,,,DUT,
229,Xây dựng ứng dụng quản lí bán hàng trên nền tảng Hyperledger Blockchain,,,,,,DUT,
230,Xây dựng hệ thống đề xuất sản phẩm dựa trên Auto-Encoder,,,,,,DUT,
231,Xây dựng ứng dụng blockchain quản lí chuỗi cung ứng,,,,,,DUT,
232,Mysic- Digital Music Service Website,,,,,,DUT,
233,Hệ thống hỗ trợ đăng và tìm kiếm việc làm,,,,,,DUT,
234,Xây dựng website thương mại điện tử sử dụng công nghệ Blockchain,,,,,,DUT,
235,Xây dựng nền tảng tạo và mua bán NFT (non-fungible tokens) - ArtNfts,,,,,,DUT,
236,Data acquisition and analysis system for near-infrared spectrum of food,,,,,,DUT,
237,Solving Age-Invariant Face Recognition and Face Age Synthesis simultaneously using Deep Learning,,,,,,DUT,
238,Building an Android application to assist driving using AI,,,,,,DUT,
239,Xây dựng ứng dụng mạng xã hội Lavender,,,,,,DUT,
240,Xây dựng web game vẽ hình đa người dùng có sử dụng học máy,,,,,,DUT,
241,Xây dựng website quản lý rạp chiếu phim,,,,,,DUT,
242,"Xây dựng website quản lý, gợi ý tìm kiếm trường học",,,,,,DUT,
243,Vietnamese text classification using NLP techniques,,,,,,DUT,
244,Hệ thống quản lý công việc cho nhân viên làm việc remote,,,,,,DUT,
245,Website quản lý tiệm thuốc,,,,,,DUT,
246,Hệ thống cung cấp vật tư y tế cho mọi nhà,,,,,,DUT,
247,Xây dựng ứng dụng blockchain bán hàng trên nền tảng Hyperledger Fabric,,,,,,DUT,
248,Xây dựng hệ thống ghi nhận và khen thưởng nhân viên Kudo,,,,,,DUT,
249,Hệ thống hỗ trợ học tập tiếng Anh trực tuyến,,,,,,DUT,
250,Xây dựng ứng dụng để phát hiện và cảnh báo số điện thoại spam trên nền tảng Android,,,,,,DUT,
251,Đánh giá bảo mật hệ thống thông qua kiểm thử xâm nhập,,,,,,DUT,
252,Xây dựng hệ thống khảo sát người dùng ứng dụng công nghệ Blockchain,,,,,,DUT,
253,Hệ thống quản lý đánh giá năng lực của nhân viên,,,,,,DUT,
254,Quảng cáo và Order sử dụng Facebook Graph API,,,,,,DUT,
255,Xây dựng website quản lý bán hàng,,,,,,DUT,
256,Hệ thống quản lý nhân sự trong công ty (Human Resource Management),,,,,,DUT,
257,Thiết kế công cụ quản lý dự án dựa trên quy trình Scrum,,,,,,DUT,
258,Build A Tour Booking Website – HappyVacation,,,,,,DUT,
259,Xây dựng trang web tiện ích thiết kế đồ họa,,,,,,DUT,
260,Build a nutrition tracking application,,,,,,DUT,
261,Building NFT Marketplace,,,,,,DUT,
262,"Hệ thống chấm code, tổ chức các cuộc thi lập trình trực tuyến BKDNOJ",,,,,,DUT,
263,Xây dựng website quản lý truyện thông qua mạng xã hội,,,,,,DUT,
264,Xây dựng website đánh giá công ty CNTT ở Đà Nẵng,,,,,,DUT,
265,Hệ thống hỗ trợ đặt lịch khám (My Healthy),,,,,,DUT,
266,Xây dựng website bán khóa học (Course Website),,,,,,DUT,
267,xây dựng website nhà hàng healthy food kết hợp kinh doanh thực phẩm organic,,,,,,DUT,
268,Hệ thống bầu cử,,,,,,DUT,
269,Xây dựng website bán hàng,,,,,,DUT,
270,Xây dựng website bán giày tích hợp gợi ý sản phẩm,,,,,,DUT,
271,Xây dựng website quản lý cửa hàng giày dép,,,,,,DUT,
272,Xây dựng Website bán sách,,,,,,DUT,
273,Cooking Recipe,,,,,,DUT,
274,Xây dựng Website gợi ý chọn phim cho người dùng,,,,,,DUT,
275,Hệ thống hỗ trợ du lịch Duli,,,,,,DUT,
276,Xây dựng website đặt tour du lịch,,,,,,DUT,
277,Website tin tức tích hợp hệ thống gợi ý,,,,,,DUT,
278,Build an e-commerce website to sell books and learn English online,,,,,,DUT,
279,Hệ thống website hỏi đáp lập trình Rookie,,,,,,DUT,
280,Xây dựng website quản lý bán cây cảnh,,,,,,DUT,
281,Xây dựng ứng dụng Blockchain phục vụ quản lý vật tư thiết bị trên nền tảng Hyperledger,,,,,,DUT,
282,Xây dựng hệ thống quản lý tiến độ dự án,,,,,,DUT,
283,Hệ thống tạo và liên kết sàn thương mại điện tử cho nhà sản xuất và cửa hàng,,,,,,DUT,
284,Xây dựng trang web quản lý dự án theo mô hình Scrum,,,,,,DUT,
285,Xây dựng website tìm việc cho sinh viên,,,,,,DUT,
286,Hệ thống thi trắc nghiệm,,,,,,DUT,
287,Xây dựng hệ thống tạo website bán tranh NFT,,,,,,DUT,
288,Xây dựng website hỗ trợ cuộc sống khỏe “Healthy Life”,,,,,,DUT,
289,"Xây dựng ứng dụng quản lý hình ảnh, video và địa điểm check-in",,,,,,DUT,
290,Hệ Thống Quản Lý Quán Trà Sữa Bằng Mã QR Và ChatBot,,,,,,DUT,
291,Xây dựng trang web buôn bán NFT (Non-Fungible Token) chạy trên nền tảng Ethereum blockchain,,,,,,DUT,
292,Sổ Vaccine cá nhân,,,,,,DUT,
293,Xây dựng website quản lý quầy nước cho công ty ONE Tech Stop,,,,,,DUT,
294,Website tích hợp các kênh thông tin cho sinh viên Khoa Công nghệ thông,,,,,,DUT,
295,Xây dựng website cho thuê xe,,,,,,DUT,
296,Xây dựng website trò chuyện qua nhắn tin và gọi video,,,,,,DUT,
297,Sử dụng Deep Learning trong nhận diện cảm xúc bằng lời nói,,,,,,DUT,
298,Ứng dụng blockchain truy xuất nguồn gốc thuốc,,,,,,DUT,
